title,bulk_notes,is_gpu
TUF AMD Radeon RX 6500 XT Graphic Card - 4 GB GDDR6,"SKU: 195553637664, Vendor: ASUS Computer International",0
Intel Data Center GPU Flex 140,"SKU: 735858502221, Vendor: Intel Corp.",0
Lenovo NVIDIA RTX A5500 Graphic Card - 24 GB GDDR6,"SKU: 195892072874, Vendor: Lenovo Group Limited",1
AMX IRIS2 CAPTURE UNIT,"SKU: 718878035153, Vendor: HARMAN PRO",0
THE SFF-READY ASUS PRIMEGEFORCE,"SKU: 197105868410, Vendor: ASUS - VGA NVIDIA",0
Asus NVIDIA GeForce RTX 3060 TI Graphic Card - 8 GB GDDR6X,"SKU: 195553991223, Vendor: ASUS Computer International",1
Zotac NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 0810012084765, Vendor: ZOTAC International",1
PNY NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: 0751492794471, Vendor: PNY Technologies",1
VanCryst VC840 HDMI to 3G/HD/SD-SDI Converter-TAA Compliant,"SKU: VC840, Vendor: ATEN Technology, Inc",0
Bytecc HM104 BNC Composite and S-Video to VGA Converter (Wide screen),"SKU: HM104, Vendor: Bytecc, Inc",0
PNY NVIDIA GeForce RTX 5070 Graphic Card - 12 GB GDDR7,"SKU: 0751492794471, Vendor: PNY Technologies",1
Gigabyte NVIDIA GeForce RTX 4060 Graphic Card - 8 GB GDDR6 - Low-profile,"SKU: 0889523039281, Vendor: GIGABYTE Technology, Inc",0
MSI NVIDIA GeForce RTX 4060 Ti Graphic Card - 16 GB GDDR6,"SKU: 824142332061, Vendor: MSI",1
MSI NVIDIA GeForce RTX 4070 Graphic Card - 12 GB GDDR6X,"SKU: 824142329412, Vendor: MSI",1
Lenovo NVIDIA RTX A2000 Graphic Card - 12 GB GDDR6,"SKU: 195892052937, Vendor: Lenovo Group Limited",1
TUF NVIDIA GeForce RTX 4060 Ti Graphic Card - 8 GB GDDR6,"SKU: 197105204058, Vendor: ASUS Computer International",1
HP AMD Radeon RX 6300 Graphic Card - 2 GB GDDR6 - Full-height,"SKU: 197497034288, Vendor: HP Inc.",0
NV A4000 GRAPHICS CARD,"SKU: 0195892023654, Vendor: LENOVO OPTIONS",1
RTX 5080 16G SUPRIM LIQ SOC,"SKU: 824142395738, Vendor: MSI",1
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553815468, Vendor: ASUS Computer International",1
ASUS ROG STRIX LC AMD RADEON,"SKU: 195553251815, Vendor: ASUS - AMD",0
TUF AMD Radeon RX 7600 XT Graphic Card - 16 GB GDDR6,"SKU: 197105478213, Vendor: ASUS Computer International",0
VisionTek AMD Radeon HD 7750 Graphic Card - 2 GB GDDR5,"SKU: 995475878554, Vendor: VisionTek Products, LLC",0
AMX NMX-DEC-N1222A VIDEO OVER,"SKU: 718878022757, Vendor: HARMAN PRO",0
AMD Radeon Pro W7500 Graphic Card - 8 GB GDDR6 - Full-height,"SKU: 727419314862, Vendor: Advanced Micro Devices, Inc",0
Asus NVIDIA GeForce RTX 3050 Graphic Card - 8 GB GDDR6,"SKU: 195553645256, Vendor: ASUS Computer International",1
Matrox QuadHead2Go Q155 Multi-Monitor Controller Appliance,"SKU: 790750260082, Vendor: Matrox",0
Asus ROG NVIDIA GeForce RTX 3070 Graphic Card - 8 GB GDDR6,"SKU: 195553320252, Vendor: ASUS Computer International",1
"AMX N-Series Windowing Processor, 4x1","SKU: 718878022795, Vendor: Harman International Industries, Inc",0
ASUS PRIME RADEON RX 9070 OC,"SKU: 197105860834, Vendor: ASUS - VGA NVIDIA",0
ASUS TUF GAMING CAPTURE BOX,"SKU: 195553150842, Vendor: ASUS - COMPONENTS",0
ComNet FVT1031M1 Digital Multimedia Receiver,"SKU: FVT1031M1, Vendor: ACRE",0
DUAL RTX4060 O8G V2,"SKU: 197105392212, Vendor: ASUS",1
AVerMedia DVD EZMaker 7 Signal Converter,"SKU: MTVDVDEZ7-C039, Vendor: AVerMedia Technologies, Inc",0
PNY NVIDIA T1000 Graphic Card - 8 GB GDDR6,"SKU: 751492653938, Vendor: PNY Technologies",0
MSI NVIDIA GeForce RTX 4070 SUPER Graphic Card - 12 GB GDDR6X,"SKU: 0824142346785, Vendor: MSI",1
XTRA GO GC515 WHITE,"SKU: 850061690135, Vendor: AVERMEDIA",0
Ubiquiti UniFi Protect ViewPort PoE,"SKU: 817882029575, Vendor: Ubiquiti Inc.",0
PNY NVIDIA A800 Graphic Card - 40 GB HBM2 - Low-profile,"SKU: 0751492779430, Vendor: PNY Technologies",1
Asus ROG NVIDIA GeForce RTX 3070 Graphic Card - 8 GB GDDR6,"SKU: 195553320252, Vendor: ASUS Computer International",1
