original_title,original_model,matched_canonical,match_type,match_score,issue_type,suggested_action,reason,source
GEFORCE GT 710 2GB,GEFORCE GT 710 2GB,RTX_5070,fuzzy,0.6400000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.640 too low for reliable match,Wamatek
GT 1030 4GD4 LP OC,GT 1030 4GD4 LP,H100_PCIE_80GB,fuzzy,0.6000000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.600 too low for reliable match,Wamatek
MSI NVIDIA GeForce GT 710 Graphic Card - 2 GB DDR3 SDRAM - Low-profile,MSI NVIDIA GeForce GT,RTX_5070,fuzzy,0.6608695652173913,low_fuzzy_score,UNKNOWN,Fuzzy score 0.661 too low for reliable match,Wamatek
Asus NVIDIA GeForce GT 730 Graphic Card - 2 GB GDDR5 - Low-profile,Asus NVIDIA GeForce GT,RTX_5070,fuzzy,0.6608695652173913,low_fuzzy_score,UNKNOWN,Fuzzy score 0.661 too low for reliable match,Wamatek
"Eaton Tripp Lite Series USB 2.0 to DVI/VGA External Multi-Monitor Video Card, 128 MB SDRAM, 1920 x 1080 (1080p) @ 60 Hz",1920 x 1080,H100_PCIE_80GB,fuzzy,0.6000000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.600 too low for reliable match,Wamatek
AMD RADEON PRO W6400,AMD RADEON PRO W6400,T400,fuzzy,0.6857142857142858,low_fuzzy_score,UNKNOWN,Fuzzy score 0.686 too low for reliable match,Wamatek
NV 1000 8G CARD,NV 1000 8G CARD,A1000,fuzzy,0.6400000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.640 too low for reliable match,Wamatek
Asus ROG AMD Radeon RX 6600 XT Graphic Card - 8 GB GDDR6,RX 6600 XT,RTX_6000_ADA,fuzzy,0.6000000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.600 too low for reliable match,Wamatek
"Eaton Tripp Lite Series VGA to HDMI Active Adapter Cable with Audio and USB Power (M/F), 1080p, 6 in. (15.2 cm)",Eaton Tripp Lite Series,H100_PCIE_80GB,fuzzy,0.6000000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.600 too low for reliable match,Wamatek
Gigabyte NVIDIA GeForce GT 1030 Graphic Card - 2 GB DDR4 SDRAM - Low-profile,GeForce GT 1030,RTX_5090,fuzzy,0.6608695652173913,low_fuzzy_score,UNKNOWN,Fuzzy score 0.661 too low for reliable match,Wamatek
"SIIG HDMI Over IP Encoder & Decoder Transceiver, TX/RX Mode Switching, Cascading, 1080p, 1 to 1 600ft",SIIG HDMI Over IP,H100_PCIE_80GB,fuzzy,0.6000000000000001,low_fuzzy_score,UNKNOWN,Fuzzy score 0.600 too low for reliable match,Wamatek
