date_seen,date_sold,marketplace,form_factor,condition,price_usd,price_per_gpu,vram_gb,seller,feedback,listing_type,sold_count
2025-08-16,,eBay US,SXM4,Open Box,2519.99,,40,laptopsforles,100.0,Active,
2025-08-16,,eBay US,SXM4,Pre-Owned,2789.95,,40,rakicomputers,99.2,Active,
2025-08-16,,eBay US,SXM4,Pre-Owned,2999.97,,40,semsotai2017,99.8,Active,
2025-08-16,,eBay US,SXM4,Pre-Owned,2599.0,,40,blpp9767,100.0,Active,
2025-08-16,,eBay US,SXM4,Pre-Owned,2940.0,,40,backup_servers,99.1,Active,
2025-08-16,,eBay US,SXM4,Pre-Owned,2469.95,,40,tech_hardware_deals,100.0,Active,
2025-08-16,,eBay CN,SXM4,Brand New,4350.0,,40,serversseller,94.3,Active,79.0
2025-08-16,,eBay CN,SXM4,Brand New,4370.0,,40,xdcomputers,99.5,Active,55.0
2025-08-16,,eBay CN,SXM4,Brand New,4350.0,,40,tugm4470,99.3,Active,162.0
2025-08-16,,eBay CN,SXM4,Brand New,4699.0,,40,lsj2016,98.2,Active,
2025-08-16,,eBay CN,SXM4,Brand New,4289.02,,40,pcbacon,98.3,Active,
2025-08-16,,eBay US,Converted SXM→PCIe,Pre-Owned,3918.44,,40,spacey425,100.0,Active,
2025-08-16,,eBay US,Converted SXM→PCIe,Pre-Owned,5400.0,,40,resolvedtechnologies,100.0,Active,
,2025-08-14,eBay CN,SXM4,Brand New,4378.0,,40,tugm4470-8,96.5,Sold,
,2025-08-14,eBay US,SXM4,Open Box,2519.99,,40,laptopsforles,100.0,Sold,
,2025-08-12,eBay CN,SXM4,Brand New,4370.0,,40,xdcomputers,99.5,Sold,
,2025-08-12,eBay CN,SXM4,Brand New,4350.0,,40,serversseller,94.3,Sold,
,2025-01-21,eBay US,SXM4,Brand New,4816.99,,40,computechdealllc,94.4,Sold,
,2024-12-17,eBay CN,SXM4,Brand New,4369.0,,40,halbry,100.0,Sold,
,2025-08-09,eBay US,PCIe,Pre-Owned,9000.0,,40,ergam17,0.0,Sold,
,2025-07-30,eBay US,PCIe,Pre-Owned,7399.99,,40,wazno,98.9,Sold,
,2025-07-20,eBay US,PCIe,Pre-Owned,6999.99,,40,qualitymemorycpu,99.2,Sold,
,2025-07-19,eBay US,PCIe,Pre-Owned,9000.0,,40,monsonmachine12,99.3,Sold,
,2025-06-05,eBay US,PCIe,Pre-Owned,7000.0,,40,rakicomputers,99.2,Sold,
,2025-06-02,eBay US,PCIe,Pre-Owned,8900.0,,40,cloud_storage_corp,99.8,Sold,
,2025-08-07,eBay US,Converted SXM→PCIe,Pre-Owned,3918.44,,40,spacey425,100.0,Sold,
,2025-07-05,eBay US,Converted SXM→PCIe,Pre-Owned,5400.0,,40,resolvedtechnologies,100.0,Sold,
,2025-06-27,eBay US,Converted SXM→PCIe,Pre-Owned,3918.44,,40,spacey425,100.0,Sold,
,2025-08-16,eBay US,Integrated HGX,Brand New,2024.39,506.1,160,lisamedservice,0.0,Sold,
,2025-08-12,eBay US,Integrated HGX,Pre-Owned,11527.44,2881.86,160,rtone-32,98.5,Sold,
