date_seen,date_sold,marketplace,title,condition,price_usd_total,form_factor,vram_gb,seller,feedback,feedback_count,listing_type,price_per_gpu_usd,includes,notes
2025-08-16,,eBay US,Nvidia A100 SXM4 40GB GPU Module Graphics Accelerator Tensor W/ Heatsink,Open Box,2519.99,SXM4,40,laptopsforles,100.0,16300.0,Active,,Heatsink,
2025-08-16,,eBay US,Nvidia A100 SXM4 40GB GPU Tensor Core 699-2G506-0200-300 with A100 Heatsink,Pre-Owned,2789.95,SXM4,40,rakicomputers,99.2,97700.0,Active,,Heatsink,
2025-08-16,,eBay US,Nvidia A100 SXM4 40GB AI GPU Module Graphics Accelerator Tensor W/ Heatsink,Pre-Owned,2999.97,SXM4,40,semsotai2017,99.8,11600.0,Active,,Heatsink,
2025-08-16,,eBay US,Nvidia A100 SXM4 40GB AI GPU Module Graphics Accelerator Tensor W/ Heatsink,Pre-Owned,2599.0,SXM4,40,blpp9767,100.0,1.0,Active,,Heatsink,
2025-08-16,,eBay US,"NVIDIA A100 40GB SXM4 Tensor Core GPU Module with Heatsink for AI, HPC",Pre-Owned,2940.0,SXM4,40,backup_servers,99.1,965.0,Active,,Heatsink,
2025-08-16,,eBay CN,NVIDIA Tesla A100 40GB PCI-e SXM4 GPU Graphics Card Driver 900-21001-0000-000,Brand New,4350.0,SXM4,40,serversseller,94.3,7000.0,Active,,,
2025-08-16,,eBay CN,🔥Nvidia Tesla A100 40GB PCIE SXM4 GPU Deep Learning AI 900-21001-0000-000,Brand New,4370.0,SXM4,40,xdcomputers,99.5,658.0,Active,,,
2025-08-16,,eBay CN,Nvidia Tesla A100 SXM4 GPU Accelarator 40GB graphics card deep learning AI,Brand New,4350.0,SXM4,40,tugm4470,99.3,4800.0,Active,,,
2025-08-16,,eBay CN,Nvidia Tesla A100 40GB PCIE SXM4 GPU Accelarator Graphics Card Deep Learning AI,Brand New,4699.0,SXM4,40,lsj2016,98.2,7100.0,Active,,,
2025-08-16,,eBay US,NVIDIA Tesla A100 40gb GPU SXM4 Converted PCI-E 900-21001-0000-000 *Used*,Pre-Owned,3918.44,Converted SXM→PCIe,40,spacey425,100.0,187.0,Active,,"Conversion adapter, power",
2025-08-16,,eBay US,NVIDIA Tesla A100 40gb GPU SXM4 converted PCI-E US Seller - Same Day Shipping,Pre-Owned,5400.0,Converted SXM→PCIe,40,resolvedtechnologies,100.0,202.0,Active,,,
,2025-08-16,eBay US,Dell NVIDIA HGX Board w/ 4x A100 40GB SXM4 GPU XE8545 699-2G506-0200-300 PG506,Brand New,2024.39,Integrated HGX,160,lisamedservice,0.0,,Sold,506.0975,"HGX baseboard, 4x A100 40GB",
,2025-08-14,eBay CN,NVIDIA Tesla A100 40GB PCI-e OEM version SXM4 Driver GPU Computing Graphics Card,Brand New,4378.0,SXM4,40,tugm4470-8,96.5,,Sold,,,
,2025-08-14,eBay US,Nvidia A100 SXM4 40GB GPU Module Graphics Accelerator Tensor W/ Heatsink,Open Box,2519.99,SXM4,40,laptopsforles,100.0,,Sold,,Heatsink,
,2025-08-12,eBay US,Nvidia HGX Board w/ 4x A100 40GB SXM4 GPU Dell PN 700T5 Used,Pre-Owned,11527.44,Integrated HGX,160,rtone-32,98.5,,Sold,2881.86,"Dell HGX baseboard, 4x A100 40GB",
,2025-08-09,eBay US,LOT OF 3) Nvidia A100 SXM4 40GB Read Damaged Pins 699-2G506-0200-300 #95,Parts Only,3500.0,SXM4,120,fife_wa_electronics,97.8,,Sold,1166.6666666666667,,Damaged pins
,2025-08-07,eBay US,NVIDIA Tesla A100 40gb GPU SXM4 Converted PCI-E 900-21001-0000-000 *Used*,Pre-Owned,3918.44,Converted SXM→PCIe,40,spacey425,100.0,,Sold,,,
,2025-08-09,eBay US,NVIDIA A100 40GB PCIe GPU Accelerator – High Performance AI/ML,Pre-Owned,9000.0,PCIe,40,ergam17,0.0,,Sold,,,
,2025-07-30,eBay US,NVIDIA Tesla A100 Ampere 40GB Graphics Processor Accelerator - PCIe 4.0 x16,Pre-Owned,7399.99,PCIe,40,wazno,98.9,,Sold,,,
,2025-07-20,eBay US,MINT Nvidia Tesla A100 40GB PCIE Accelerator Graphics Card 900-21001-0000-000,Pre-Owned,6999.99,PCIe,40,qualitymemorycpu,99.2,,Sold,,,
,2025-07-19,eBay US,NVIDIA Tesla A100 HBM2 40GB GPU PCI-E 900-21001-0000-000 (US SELLER),Pre-Owned,9000.0,PCIe,40,monsonmachine12,99.3,,Sold,,,
,2025-06-05,eBay US,Nvidia Tesla A100 40GB HBM2 PCI-E GPU Tensor Ampere Computing Accelerator Card,Pre-Owned,7000.0,PCIe,40,rakicomputers,99.2,,Sold,,,
,2025-06-02,eBay US,Nvidia Tesla A100 40GB PCIE HBM2e GPU Accelerator Graphics Card,Pre-Owned,8900.0,PCIe,40,cloud_storage_corp,99.8,,Sold,,,
