date,type,marketplace,form_factor,condition,price,seller_feedback,risk,usd_per_gb_vram,usd_per_tflops_fp16,notes
2025-08-16,Active,eBay US,SXM4,Open Box,2520,100.0,Low,63.0,8.076923076923077,
2025-08-16,Active,eBay US,SXM4,Pre-Owned,2790,99.2,Low,69.75,8.942307692307692,
2025-08-16,Active,eBay US,SXM4,Pre-Owned,3000,99.8,Low,75.0,9.615384615384615,
2025-08-16,Active,eBay US,SXM4,Pre-Owned,2599,100.0,Medium,64.975,8.330128205128204,New seller (1 feedback)
2025-08-16,Active,eBay US,SXM4,Pre-Owned,2940,99.1,Low,73.5,9.423076923076923,
2025-08-16,Active,eBay CN,SXM4,Brand New,4350,94.3,Medium,108.75,13.942307692307692,79 sold
2025-08-16,Active,eBay CN,SXM4,Brand New,4370,99.5,Medium,109.25,14.006410256410257,55 sold
2025-08-16,Active,eBay CN,SXM4,Brand New,4350,99.3,Medium,108.75,13.942307692307692,162 sold
2025-08-16,Active,eBay CN,SXM4,Brand New,4699,98.2,Medium,117.475,15.060897435897436,
2025-08-16,Active,eBay US,Converted SXM→PCIe,Pre-Owned,3918,100.0,High,97.95,12.557692307692308,Requires 48V adapter
2025-08-16,Active,eBay US,Converted SXM→PCIe,Pre-Owned,5400,100.0,High,135.0,17.307692307692307,Includes conversion hardware
2025-08-14,Sold,eBay CN,SXM4,Brand New,4378,96.5,Medium,109.45,14.032051282051283,
2025-08-14,Sold,eBay US,SXM4,Open Box,2520,100.0,Low,63.0,8.076923076923077,
2025-08-12,Sold,eBay CN,SXM4,Brand New,4370,99.5,Medium,109.25,14.006410256410257,
2025-08-12,Sold,eBay CN,SXM4,Brand New,4350,94.3,Medium,108.75,13.942307692307692,
2025-08-09,Sold,eBay US,PCIe,Pre-Owned,9000,0.0,Very High,225.0,28.846153846153847,New seller
2025-07-30,Sold,eBay US,PCIe,Pre-Owned,7400,98.9,Low,185.0,23.71794871794872,
2025-07-20,Sold,eBay US,PCIe,Pre-Owned,7000,99.2,Low,175.0,22.435897435897434,
2025-07-19,Sold,eBay US,PCIe,Pre-Owned,9000,99.3,Medium,225.0,28.846153846153847,High price outlier
2025-06-05,Sold,eBay US,PCIe,Pre-Owned,7000,99.2,Low,175.0,22.435897435897434,
2025-06-02,Sold,eBay US,PCIe,Pre-Owned,8900,99.8,Low,222.5,28.525641025641026,
2025-08-07,Sold,eBay US,Converted SXM→PCIe,Pre-Owned,3918,100.0,High,97.95,12.557692307692308,
2025-07-05,Sold,eBay US,Converted SXM→PCIe,Pre-Owned,5400,100.0,High,135.0,17.307692307692307,
2025-06-27,Sold,eBay US,Converted SXM→PCIe,Pre-Owned,3918,100.0,High,97.95,12.557692307692308,
