date_sold,title,price_usd,shipping_usd,condition,form_factor,vram_gb,seller_feedback,marketplace,price_usd_total
2025-08-15,Nvidia A100 SXM4 80GB GPU Tensor Core 699-2G506-0212-320 with A100 Heatsink,5999.95,24.0,Used,SXM4,80,99.2,eBay US,6023.95
2025-08-14,NVIDIA A100 SXM4 80GB HBM2e GPU Module AI HPC Data Center Ampere 400W NVLink,1999.99,35.89,Used,SXM4,80,99.9,eBay US,2035.88
2025-08-12,Nvidia A100 SXM4 80GB GPU Tensor Core 699-2G506-0212-320 with A100 Heatsink,5227.0,24.0,Used,SXM4,80,99.2,eBay US,5251.0
2025-08-12,NVIDIA A100 80GB HBM2e SXM4 Tensor Core GPU w/ Heatsink,4000.0,24.27,Used,SXM4,80,100.0,eBay US,4024.27
2025-07-31,NVIDIA A100 SXM4 80GB GPU w Heatsink **New Open Box**,8000.0,0.0,Open Box,SXM4,80,100.0,eBay US,8000.0
2025-07-28,NVIDIA A100 80GB PCIe GPU x 1 (Used) Shipping from Japan,18399.0,300.0,Used,PCIe,80,0.0,eBay Japan,18699.0
2025-07-28,"NVIDIA A100 80GB PCIe GPU x 1 (Used, 2 stocks) Shipping from Japan",18399.0,300.0,Used,PCIe,80,0.0,eBay Japan,18699.0
2025-07-21,NVIDIA Tesla A100 80GB GPU SXM4 Deep Learning Computing Graphics Card OEM,10500.0,0.0,New,SXM4,80,94.3,eBay China,10500.0
2025-07-17,"NVIDIA A100 Tensor Core PCIe 80GB HBM2e (8-pin EPS, 300W) AI / GPU Accelerator",14499.99,0.0,Used,PCIe,80,98.1,eBay US,14499.99
2025-07-17,Nvidia A100 SXM4 80GB Read Damaged Pins,5000.0,0.0,Parts Only,SXM4,80,97.8,eBay US,5000.0
2025-07-03,NVIDIA Tesla A100 SXM4 80GB GPU *Heatsink with tensor core card,5500.0,24.27,Open Box,SXM4,80,100.0,eBay US,5524.27
2025-07-03,Working Pull Nvidia A100 80GB 14802-0001-200 CHIP # GA100-893FF-A1,8000.0,20.0,Used,SXM4,80,97.8,eBay US,8020.0
2025-06-20,Nvidia A100 QS (Quality Sample) 80GB HBM2e ECC Ampere Graphics Card PCIe 4.0,12999.0,0.0,Open Box,PCIe,80,99.4,eBay US,12999.0
2025-06-12,PNY NVIDIA TESLA A100 80GB PCI-E HBM2 4.0 GPU Graphics Card P1001B,5100.0,0.0,New,PCIe,80,0.0,eBay US,5100.0
2025-06-06,Nvidia A100 80GB PCIE GPU *** WONT BOOT***,3550.0,10.8,Parts Only,PCIe,80,100.0,eBay US,3560.8
2025-05-28,Nvidia A100 SXM4 80GB GPU Tensor Core 699-2G506-0212-320 with A100 Heatsink,7999.95,16.0,Used,SXM4,80,99.2,eBay US,8015.95
