date_seen,marketplace,title_raw,seller_name,seller_feedback_pct,seller_feedback_count,price_native,currency,shipping_native,tax_est_native,price_usd_total,condition,warranty,form_factor,variant,vram_gb,mem_type,pcie_gen,nvlink,mig_support,tdp_w,pn_model,oem_brand,includes,missing_parts,watchers,usd_per_gb_vram,usd_per_tflops_fp16,usd_per_tflops_fp8
2025-08-16,eBay US,NVIDIA RTX PRO 6000 Blackwell 96GB GDDR7 Workstation Edition New OEM FREE 2 DAY,hs_tech,99.6,9700,8699.95,USD,0.0,0.0,8699.95,New,Yes,PCIe,Workstation,96,GDDR7,5.0,No,Yes,600,VCNRTXPRO6000B-PB,PNY,"Original box, power adapters",None,25,90.62447916666667,69.59960000000001,8.691258741258743
2025-08-16,eBay US,NVIDIA RTX PRO 6000 Blackwell Workstation Edition 96GB GDDR7 GPU - 1 Yr Warranty,semiarbitrage,100.0,5500,8499.0,USD,0.0,0.0,8499.0,Refurbished,Yes,PCIe,Workstation,96,GDDR7,5.0,No,Yes,600,Unknown,NVIDIA,1 year warranty,None,11,88.53125,67.992,8.49050949050949
2025-08-16,eBay US,NVIDIA RTX PRO 6000 96GB GDDR7 Blackwell Workstation Edition GPU Graphics Card,optimize321,100.0,42,8595.0,USD,25.6,0.0,8620.6,Used,Unknown,PCIe,Workstation,96,GDDR7,5.0,No,Yes,600,Unknown,NVIDIA,GPU only,Unknown,23,89.79791666666667,68.9648,8.611988011988013
2025-08-16,eBay US,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,got_your_gadgets,100.0,55,9616.0,USD,0.0,0.0,9616.0,New,Yes,PCIe,Max-Q,96,GDDR7,5.0,No,Yes,300,Unknown,GIGABYTE,Original packaging,None,0,100.16666666666667,76.928,9.606393606393606
2025-08-16,eBay US,NVIDIA RTX 6000 PRO BLACKWELL MAX Q 96GB GDDR7 BRAND NEW SHIPS FROM USA,norfolknetworks,100.0,256,10450.0,USD,0.0,0.0,10450.0,New,Yes,PCIe,Max-Q,96,GDDR7,5.0,No,Yes,300,Unknown,NVIDIA,Original packaging,None,2,108.85416666666667,83.6,10.43956043956044
2025-08-16,eBay China,NVIDIA RTX PRO 6000 96GB Blackwell Server Edition AI GPU Graphics Cards,motorpartners,99.4,3700,10979.0,USD,0.0,0.0,10979.0,Open Box,Unknown,PCIe,Server,96,GDDR7,5.0,No,Yes,600,Unknown,NVIDIA,GPU only,Unknown,0,114.36458333333333,87.832,10.968031968031967
2025-08-16,eBay China,NVIDIA RTX PRO 6000 Blackwell Server Edition 96GB AI GPU,halbry,100.0,829,10499.0,USD,0.0,0.0,10499.0,New,Unknown,PCIe,Server,96,GDDR7,5.0,No,Yes,600,Unknown,NVIDIA,GPU only,Unknown,0,109.36458333333333,83.992,10.488511488511488
2025-08-16,eBay US,NVIDIA RTX PRO 6000 Blackwell Server Edition 96GB AI GPU Graphics/Video Card PNY,alik996.gmail,100.0,2200,13500.0,USD,0.0,0.0,13500.0,New,Unknown,PCIe,Server,96,GDDR7,5.0,No,Yes,600,PNY variant,PNY,Original packaging,None,0,140.625,108.0,13.486513486513486
2025-08-16,eBay US,PNY NVIDIA RTX PRO 6000 96GB GDDR7 Graphics Card BRAND NEW,gpuelitecom,100.0,119,8849.99,USD,0.0,0.0,8849.99,New,Yes,PCIe,Workstation,96,GDDR7,5.0,No,Yes,600,VCNRTXPRO6000B-PB,PNY,Original packaging,None,35,92.18739583333333,70.79992,8.841148851148851
2025-08-16,eBay China,NVIDIA RTX PRO 6000 96GB GDDR7 AI Deep Learning GPU Blackwell Server Edition,squaredseller,100.0,257,11900.0,USD,0.0,0.0,11900.0,New,Unknown,PCIe,Server,96,GDDR7,5.0,No,Yes,600,Unknown,NVIDIA,GPU only,Unknown,0,123.95833333333333,95.2,11.888111888111888
