date_sold,title,price_usd_total,condition,variant,location,seller,seller_feedback,usd_per_gb_vram,usd_per_tflops_fp32,usd_per_tflops_fp4
2025-08-16,NVIDIA RTX PRO 6000 Blackwell 96GB GDDR7 Workstation Edition New OEM,8699.95,Brand New,Workstation,United States,hs_tech,99.6,90.62447916666667,74.35854700854702,2.3513378378378382
2025-08-16,PNY NVIDIA RTX PRO 6000 96GB GDDR7 Graphics Card - BRAND NEW!,8699.99,Brand New,Workstation,United States,imaxprices,99.4,90.62489583333333,74.35888888888888,2.351348648648649
2025-08-12,NVIDIA RTX Pro 6000 Blackwell Server Edition 96GB AI GPU Graphics Cards,11599.0,Open Box,Server,China,wgbb4914,100.0,120.82291666666667,99.13675213675214,3.134864864864865
2025-08-11,NVIDIA RTX Pro 6000 Blackwell Workstation Edition 96GB DDR7 GPU,10145.0,Brand New,Workstation,United States,alik996.gmail,100.0,105.67708333333333,86.7094017094017,2.7418918918918918
2025-08-09,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,8749.99,Brand New,Workstation,United States,corgitechus,100.0,91.14572916666667,74.78623931623932,2.364862162162162
2025-08-08,NVIDIA RTX PRO 6000 96GB GDDR7 Blackwell Workstation Edition GPU,8620.6,Pre-Owned,Workstation,United States,optimize321,100.0,89.79791666666667,73.68034188034189,2.329891891891892
2025-08-06,NVIDIA RTX PRO 6000 Blackwell Server Edition 96GB AI GPU,11800.0,Brand New,Server,China,yzhan-695,97.3,122.91666666666667,100.85470085470085,3.189189189189189
2025-07-31,NVIDIA RTX PRO 6000 Blackwell Workstation Edition 96GB GPU - NEW,8599.99,Brand New,Workstation,United States,surplusandcircuits,100.0,89.58322916666667,73.50418803418803,2.3243216216216216
2025-07-17,NVIDIA RTX PRO 6000 Server Edition 96GB AI GPU - New In Hand,9700.0,Brand New,Server,United States,dust_vault,100.0,101.04166666666667,82.90598290598291,2.6216216216216215
2025-07-15,NVIDIA RTX PRO 6000 Blackwell Workstation Edition SEALED BULK,9199.0,Brand New,Workstation,United States,novatechdirect,97.3,95.82291666666667,78.62393162393163,2.4862162162162162
2025-07-14,NVIDIA RTX PRO 6000 Server Edition 96GB AI GPU - official supplier,8900.0,Brand New,Server,United States,dust_vault,100.0,92.70833333333333,76.06837606837607,2.4054054054054053
2025-07-11,PNY NVIDIA RTX PRO 6000 96GB GDDR7 Graphics Card BRAND NEW,8937.9,Brand New,Workstation,United States,gpuelitecom,100.0,93.10312499999999,76.3923076923077,2.4156486486486486
2025-07-03,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,9228.99,Brand New,Workstation,United States,tesserae_pcs,100.0,96.1353125,78.88025641025641,2.4943216216216215
2025-06-29,NVIDIA PNY RTX PRO 6000 Blackwell Workstation Edition 96GB AI GPU,8999.99,Brand New,Workstation,United States,*hgtc*,99.7,93.74989583333333,76.92299145299145,2.4324297297297295
2025-06-26,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,9199.0,Brand New,Workstation,United States,novatechdirect,97.3,95.82291666666667,78.62393162393163,2.4862162162162162
2025-06-21,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,9299.0,Brand New,Workstation,United States,novatechdirect,97.3,96.86458333333333,79.47863247863248,2.5132432432432434
2025-06-17,NVIDIA RTX PRO 6000 Blackwell Workstation Edition GPU,9920.96,Pre-Owned,Workstation,United States,optimize321,100.0,103.34333333333332,84.7945299145299,2.6813405405405404
2025-06-17,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,9494.0,Brand New,Workstation,United States,techno_deals,100.0,98.89583333333333,81.14529914529915,2.565945945945946
2025-06-16,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB in hand,9550.0,Brand New,Workstation,United States,bonez5xtb,100.0,99.47916666666667,81.62393162393163,2.581081081081081
2025-06-16,NVIDIA RTX Pro 6000 Blackwell Workstation Edition 96GB AI GPU,9525.0,Brand New,Workstation,United States,specialtyit-inc,100.0,99.21875,81.41025641025641,2.574324324324324
2025-06-12,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB - On Hand,9999.0,Brand New,Workstation,United States,puerrican718,100.0,104.15625,85.46153846153847,2.7024324324324325
2025-06-07,*NEW-SEALED* (BULK) NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,10406.83,Brand New,Workstation,United States,duotronics_outlet,100.0,108.40447916666666,88.94726495726496,2.812656756756757
2025-06-02,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB in hand w/warranty!,10565.0,Brand New,Workstation,United States,bonez5xtb,100.0,110.05208333333333,90.2991452991453,2.8554054054054054
2025-06-01,"PNY RTX PRO 6000 Blackwell Workstation Edition 96GB GPU - Used, Working",9399.99,Pre-Owned,Workstation,United States,empoweredpc,98.9,97.9165625,80.34179487179487,2.540537837837838
2025-05-28,*NIB* NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,9468.95,Brand New,Workstation,United States,duotronics_outlet,100.0,98.63489583333335,80.93119658119659,2.559175675675676
2025-05-27,NVIDIA RTX PRO 6000 Blackwell Workstation,9572.04,Brand New,Workstation,United States,five-star-buy,100.0,99.70875000000001,81.8123076923077,2.5870378378378383
2025-05-27,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB - in hand,9495.0,Brand New,Workstation,United States,techno_deals,100.0,98.90625,81.15384615384616,2.5662162162162163
2025-05-25,NVIDIA RTX PRO 6000 Blackwell Workstation Edition - PRESALE,9520.99,Brand New,Workstation,United States,tesserae_pcs,100.0,99.17697916666667,81.37598290598291,2.5732405405405405
