date_sold,title,price_usd,condition,seller,seller_feedback,variant,location,shipping,price_usd_total
2025-08-16,NVIDIA RTX PRO 6000 Blackwell 96GB GDDR7 Workstation Edition New OEM,8699.95,Brand New,hs_tech,99.6,Workstation,United States,0.0,8699.95
2025-08-16,PNY NVIDIA RTX PRO 6000 96GB GDDR7 Graphics Card - BRAND NEW!,8699.99,Brand New,imaxprices,99.4,Workstation,United States,0.0,8699.99
2025-08-12,NVIDIA RTX Pro 6000 Blackwell Server Edition 96GB AI GPU Graphics Cards,11599.0,Open Box,wgbb4914,100.0,Server,China,0.0,11599.0
2025-08-11,NVIDIA RTX Pro 6000 Blackwell Workstation Edition 96GB DDR7 GPU,10145.0,Brand New,alik996.gmail,100.0,Workstation,United States,0.0,10145.0
2025-08-09,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,8749.99,Brand New,corgitechus,100.0,Workstation,United States,0.0,8749.99
2025-08-08,NVIDIA RTX PRO 6000 96GB GDDR7 Blackwell Workstation Edition GPU,8595.0,Pre-Owned,optimize321,100.0,Workstation,United States,25.6,8620.6
2025-08-06,NVIDIA RTX PRO 6000 Blackwell Server Edition 96GB AI GPU,11800.0,Brand New,yzhan-695,97.3,Server,China,0.0,11800.0
2025-07-31,NVIDIA RTX PRO 6000 Blackwell Workstation Edition 96GB GPU - NEW,8599.99,Brand New,surplusandcircuits,100.0,Workstation,United States,0.0,8599.99
2025-07-17,NVIDIA RTX PRO 6000 Server Edition 96GB AI GPU - New In Hand,9450.0,Brand New,dust_vault,100.0,Server,United States,250.0,9700.0
2025-07-15,NVIDIA RTX PRO 6000 Blackwell Workstation Edition SEALED BULK,9199.0,Brand New,novatechdirect,97.3,Workstation,United States,0.0,9199.0
2025-07-14,NVIDIA RTX PRO 6000 Server Edition 96GB AI GPU - official supplier,8750.0,Brand New,dust_vault,100.0,Server,United States,150.0,8900.0
2025-07-11,PNY NVIDIA RTX PRO 6000 96GB GDDR7 Graphics Card BRAND NEW,8899.99,Brand New,gpuelitecom,100.0,Workstation,United States,37.91,8937.9
2025-07-03,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,9199.0,Brand New,tesserae_pcs,100.0,Workstation,United States,29.99,9228.99
2025-06-29,NVIDIA PNY RTX PRO 6000 Blackwell Workstation Edition 96GB AI GPU,8999.99,Brand New,*hgtc*,99.7,Workstation,United States,0.0,8999.99
2025-06-26,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,9199.0,Brand New,novatechdirect,97.3,Workstation,United States,0.0,9199.0
2025-06-21,PNY NVIDIA RTX PRO 6000 VCNRTXPRO6000B-PB 96GB GDDR7 GPU,9299.0,Brand New,novatechdirect,97.3,Workstation,United States,0.0,9299.0
2025-06-17,NVIDIA RTX PRO 6000 Blackwell Workstation Edition GPU,9900.0,Pre-Owned,optimize321,100.0,Workstation,United States,20.96,9920.96
2025-06-17,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,9399.0,Brand New,techno_deals,100.0,Workstation,United States,95.0,9494.0
2025-06-16,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB in hand,9500.0,Brand New,bonez5xtb,100.0,Workstation,United States,50.0,9550.0
2025-06-16,NVIDIA RTX Pro 6000 Blackwell Workstation Edition 96GB AI GPU,9500.0,Brand New,specialtyit-inc,100.0,Workstation,United States,25.0,9525.0
2025-06-12,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB - On Hand,9999.0,Brand New,puerrican718,100.0,Workstation,United States,0.0,9999.0
2025-06-07,*NEW-SEALED* (BULK) NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,10388.88,Brand New,duotronics_outlet,100.0,Workstation,United States,17.95,10406.83
2025-06-02,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB in hand w/warranty!,10500.0,Brand New,bonez5xtb,100.0,Workstation,United States,65.0,10565.0
2025-06-01,"PNY RTX PRO 6000 Blackwell Workstation Edition 96GB GPU - Used, Working",9399.99,Pre-Owned,empoweredpc,98.9,Workstation,United States,0.0,9399.99
2025-05-28,*NIB* NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB,9449.0,Brand New,duotronics_outlet,100.0,Workstation,United States,19.95,9468.95
2025-05-27,NVIDIA RTX PRO 6000 Blackwell Workstation,9572.04,Brand New,five-star-buy,100.0,Workstation,United States,0.0,9572.04
2025-05-27,NVidia RTX Pro 6000 Blackwell Workstation Edition 96GB - in hand,9495.0,Brand New,techno_deals,100.0,Workstation,United States,0.0,9495.0
2025-05-25,NVIDIA RTX PRO 6000 Blackwell Workstation Edition - PRESALE,9499.0,Brand New,tesserae_pcs,100.0,Workstation,United States,21.99,9520.99
