title,price_usd,form_factor,condition,location,usd_per_gb_vram,usd_per_tflop_fp16,usd_per_tflop_fp32
NVIDIA Tesla V100S 32GB HBM2 Passive CUDA GPU PCIe...,1099.99,PCIe,Pre-Owned,United States,34.37,35.11,70.2
NVIDIA Tesla V100 SXM2 32GB GPU Accelerator V100-S...,559.0,SXM2,Pre-Owned,United States,17.47,17.84,35.67
NVIDIA Tesla V100 32GB HBM2 Passive GPU PCIe Accel...,1299.99,PCIe,Very Good - Refurbished,United States,40.62,41.49,82.96
NVIDIA Tesla V100 Volta 32GB HBM2 PCIe 3.0 x GPU A...,1249.99,PCIe,Pre-Owned,United States,39.06,39.9,79.77
4pcs NVIDIA Tesla V100 32GB GPU CUDA SXM2 to PCIE ...,4900.0,Converted SXM→PCIe,Open Box,China,153.12,156.4,312.7
NVIDIA 699-2G503-0280-200 V100 PG503 32GB SXM2 TES...,529.0,SXM2,Pre-Owned,United States,16.53,16.88,33.76
NVIDIA Tesla V100 32GB GPU SXM2 +PCIE Adapter PCIe...,790.65,SXM2 + Adapter,Open Box,China,24.71,25.24,50.46
DELL NVIDIA Tesla V100 PCIe 32GB HBM2 Graphics Car...,1499.99,PCIe,Pre-Owned,United States,46.87,47.88,95.72
** Nvidia Tesla V100 SXM2 32GB GV100 HBM2 GPU Acce...,649.79,SXM2,Pre-Owned,United States,20.31,20.74,41.47
NVIDIA Tesla V100 32GB GPU NVLink NVBridge *DISPLA...,1599.0,PCIe,Pre-Owned,United States,49.97,51.04,102.04
Working Pull Nvidia Tesla PG500 V100 32GB PCIE Gra...,1499.99,PCIe,Pre-Owned,United States,46.87,47.88,95.72
Nvidia Tesla V100 32GB GPU SXM2 To PCIE x16 Comput...,1258.0,Converted SXM→PCIe,Brand New,China,39.31,40.15,80.28
NVIDIA Tesla V100 Sxm2 32gb Gv100 GPU Includes Hea...,1500.0,SXM2,Pre-Owned,United States,46.88,47.88,95.72
Nvidia Tesla V100 SXM2 GV100 32GB HBM2 PCI 3.0 x16...,615.0,SXM2,Pre-Owned,United States,19.22,19.63,39.25
Nvidia Tesla V100 SXM2 GV100 32GB HBM2 PCI-Express...,639.99,SXM2,Pre-Owned,United States,20.0,20.43,40.84
NVIDIA 699-2G503-0280-200 Tesla V100 SXM2 32GB GPU,529.0,SXM2,Pre-Owned,United States,16.53,16.88,33.76
NVIDIA Tesla V100 32GB HBM2 Passive GPU PCIe Accel...,1399.0,PCIe,Pre-Owned,United States,43.72,44.65,89.28
NVIDIA Tesla V100 32GB PCIe Volta GPU AI Accelerat...,1170.0,PCIe,Open Box,United States,36.56,37.34,74.66
Nvidia Tesla V100 SXM2 32GB GV100 Volta PCIe 3.0 H...,649.95,SXM2,Pre-Owned,United States,20.31,20.75,41.48
NVIDIA Tesla V100 32GB HBM2 Passive CUDA GPU PCIe ...,1850.0,PCIe,Pre-Owned,United States,57.81,59.05,118.06
NVIDIA Tesla V100 SXM2 32GB HBM2 GPU Accelerator S...,599.0,SXM2,Pre-Owned,United States,18.72,19.12,38.23
NVIDIA Tesla V100 32GB SXM3 GPU Graphics Card CUDA...,1785.0,SXM3,Open Box,China,55.78,56.97,113.91
NVIDIA Tesla V100 Sxm2 32gb GV100 GPU,789.0,SXM2,Pre-Owned,United States,24.66,25.18,50.35
T39XP DELL /NVIDIA Tesla V100 32GB HBM2 CUDA GPU P...,1789.0,PCIe,Pre-Owned,United States,55.91,57.1,114.17
NVIDIA Tesla V100 32GB SXM3 Convert PCIE GPU CUDA ...,1789.0,Converted SXM3→PCIe,Brand New,China,55.91,57.1,114.17
NVIDIA Tesla V100 DGXS SXM2 32GB PCIE GPU CUDA Com...,2399.0,SXM2,Brand New,China,74.97,76.57,153.1
