model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes,vram_gb,tdp_w,mig_capable,slots,form_factor,nvlink,generation,cuda_cores,pcie_generation,notes,warnings,quantization_capacity,raw_score,quantization_score,score,final_score
RX 7600 XT,New,356.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/rx-7600-xt-gaming-oc-16g-3x,Shopify_Wamatek,"SKU: 889523041833, Vendor: GIGABYTE - AMD",RX 7600 XT GAMING OC 16G 3X,RTX_6000_ADA,fuzzy,0.6400000000000001,True,,fuzzy: matched 'RTX 6000' with score 80.0,48.0,300.0,4.0,2.0,Dual-slot,True,Ada,18176.0,4.0,,,,0.5660737214285714,0.0,0.5660737214285714,100.0
Intel Data Center GPU,New,1784.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/intel-data-center-gpu-flex-140,Shopify_Wamatek,"SKU: 735858502221, Vendor: Intel Corp.",Intel Data Center GPU Flex 140,A40,fuzzy,0.6400000000000001,True,,fuzzy: matched 'A40' with score 80.0,48.0,300.0,7.0,2.0,Dual-slot,False,Ampere,10752.0,4.0,,,,0.5089394357142857,0.0,0.5089394357142857,89.90691785336745
NVIDIA NVLINK A SERIES,New,178.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-nvlink-a-series-3s-scb,Shopify_Wamatek,"SKU: 751492642635, Vendor: PNY QUADRO",NVIDIA NVLINK A SERIES 3S SCB,L4,fuzzy,0.7000000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 87.5,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.5068865785714286,0.0,0.5068865785714286,89.54426947999366
NVIDIA NVLINK RTX A,New,178.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-nvlink-rtx-a-series,Shopify_Wamatek,"SKU: 751492641430, Vendor: PNY QUADRO",NVIDIA NVLINK RTX A SERIES,L4,fuzzy,0.7000000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 87.5,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.5068865785714286,0.0,0.5068865785714286,89.54426947999366
NVIDIA NVLINK 3-SLOT BRG,New,283.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/nvidia-nvlink-3-slot-brg,Shopify_Wamatek,"SKU: 195697639135, Vendor: HP INC. - NSB OPTIONS",NVIDIA NVLINK 3-SLOT BRG,L4,fuzzy,0.7000000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 87.5,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.5053115785714286,0.0,0.5053115785714286,89.26603716848038
HPE Ingram Micro Sourcing,New,612.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/hpe-ingram-micro-sourcing-nvidia-grid-p4-graphic-card-8-gb-gddr5,Shopify_Wamatek,"SKU: Q0V79A-RF, Vendor: HPE SOURCING - CERTIFIED PRE-OWNED",HPE Ingram Micro Sourcing NVIDIA GRID P4 Graphic Card - 8 GB GDDR5,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.5003765785714286,0.0,0.5003765785714286,88.39424259240542
LIVE GAMER ULTRA 2.1,New,287.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/live-gamer-ultra-2-1-gc553g2,Shopify_Wamatek,"SKU: 850036764465, Vendor: AVERMEDIA",LIVE GAMER ULTRA 2.1 GC553G2,A2,regex,0.9,True,,regex: matched pattern 'A2' on text 'A 2',16.0,60.0,7.0,1.0,Single-slot,False,Ampere,3584.0,4.0,,,,0.4828230071428571,0.0,0.4828230071428571,85.29330878041492
Cisco NVIDIA Grid K1,New,2976.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-grid-k1-graphic-card-full-height,Shopify_Wamatek,"SKU: 882658556111, Vendor: Cisco Systems, Inc",Cisco NVIDIA Grid K1 Graphic Card - Full-height,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.46491657857142854,0.0,0.46491657857142854,82.13004083604912
RTX PRO 6000,New,8073.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/pny-nvidia-rtx-pro-6000-graphic-card-96-gb-gddr7-full-height,Shopify_Wamatek,"SKU: 0751492797670, Vendor: PNY Technologies",PNY NVIDIA RTX PRO 6000 Graphic Card - 96 GB GDDR7 - Full-height,RTX_6000_ADA,regex,0.9,True,,regex: matched pattern 'RTX_6000_ADA' on text 'RTX PRO 6000',48.0,300.0,4.0,2.0,Dual-slot,True,Ada,18176.0,4.0,,,,0.45031872142857143,0.0,0.45031872142857143,79.55125001954252
Cisco NVIDIA Tesla T4,New,4204.99,Unavailable,Wamatek,USA,Current,https://wamatek.com/products/cisco-nvidia-tesla-t4-graphic-card-16-gb,Shopify_Wamatek,"SKU: UCSX-GPU-T4MEZZ-D, Vendor: Cisco Systems, Inc",Cisco NVIDIA Tesla T4 Graphic Card - 16 GB,L4,fuzzy,0.6400000000000001,True,,fuzzy: matched 'NVIDIA L4' with score 80.0,24.0,72.0,7.0,1.0,Single-slot,False,Ada,7680.0,4.0,,,,0.44649657857142855,0.0,0.44649657857142855,78.87604770711276
