model,condition,price,quantity,seller,geographic_region,listing_age,source_url,source_type,bulk_notes,title,canonical_model,match_type,match_score,is_valid_gpu,unknown_reason,match_notes,vram_gb,tdp_w,mig_capable,slots,form_factor,nvlink,generation,cuda_cores,pcie_generation,notes,warnings,quantization_capacity
RTX 5070,New,595.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5070-12g-shadow-2x-oc,Shopify_Wamatek,"SKU: 824142405772, Vendor: MSI",MSI RTX 5070 12G SHADOW 2X OC,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX 5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
RTX 5070,New,627.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5070-12g-ventus-2x-oc-white,Shopify_Wamatek,"SKU: 824142405703, Vendor: MSI",MSI RTX 5070 12G VENTUS 2X OC WHITE,RTX_5070,regex,0.9,True,,regex: matched pattern 'RTX_5070' on text 'RTX 5070',12.0,250.0,0.0,2.0,Dual-slot,False,Blackwell,6144.0,5.0,,,
RTX 5080,New,1386.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5080-16g-ventus-3x-oc-plus,Shopify_Wamatek,"SKU: 824142395851, Vendor: MSI",MSI RTX 5080 16G VENTUS 3X OC PLUS,RTX_5080,regex,0.9,True,,regex: matched pattern 'RTX_5080' on text 'RTX 5080',16.0,360.0,0.0,3.0,Standard,False,Blackwell,10752.0,5.0,,,
RTX 5090,New,2932.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5090-32g-gaming-trio-oc,Shopify_Wamatek,"SKU: 824142403266, Vendor: MSI",MSI RTX 5090 32G GAMING TRIO OC,RTX_5090,regex,0.9,True,,regex: matched pattern 'RTX_5090' on text 'RTX 5090',32.0,575.0,0.0,3.0,Standard,False,Blackwell,21760.0,5.0,,,
RTX 5090,New,2932.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5090-vanguard-soc,Shopify_Wamatek,"SKU: 824142403143, Vendor: MSI",MSI RTX 5090 VANGUARD SOC,RTX_5090,regex,0.9,True,,regex: matched pattern 'RTX_5090' on text 'RTX 5090',32.0,575.0,0.0,3.0,Standard,False,Blackwell,21760.0,5.0,,,
RTX 5070 TI,New,920.99,Available,Wamatek,USA,Current,https://wamatek.com/products/msi-rtx-5070-ti-16g-inspire-3x-oc,Shopify_Wamatek,"SKU: 824142408469, Vendor: MSI",MSI RTX 5070 TI 16G INSPIRE 3X OC,RTX_5070_TI,regex,0.9,True,,regex: matched pattern 'RTX_5070_TI' on text 'RTX 5070 TI',16.0,300.0,0.0,2.0,Dual-slot,False,Blackwell,8960.0,5.0,,,
GEFORCE GT 710 2GB,New,58.99,Available,Wamatek,USA,Current,https://wamatek.com/products/geforce-gt-710-2gb,Shopify_Wamatek,"SKU: 0824142126905, Vendor: MSI - NVIDIA",GEFORCE GT 710 2GB,GT_710,regex,0.9,True,,regex: matched pattern 'GT_710' on text 'GEFORCE GT 710',2.0,19.0,0.0,1.0,Single-slot,False,Kepler,192.0,2.0,,,
RADEON RX 550 2GB,New,136.99,Available,Wamatek,USA,Current,https://wamatek.com/products/radeon-rx-550-2gb-gddr5-4x-mdp,Shopify_Wamatek,"SKU: 0810078050131, Vendor: VISIONTEK",RADEON RX 550 2GB GDDR5 4X MDP,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
AVerTV Hybrid TVBox 13,New,212.99,Available,Wamatek,USA,Current,https://wamatek.com/products/avertv-hybrid-tvbox-13,Shopify_Wamatek,"SKU: 795522964755, Vendor: AVerMedia Technologies, Inc",AVerTV Hybrid TVBox 13,UNKNOWN,none,0.0,True,Could not match to any known GPU model,,0.0,0.0,0.0,1.0,Standard,False,,,,,Model 'UNKNOWN' not found in GPU registry,
NVIDIA RTX A1000 8GB,New,485.99,Available,Wamatek,USA,Current,https://wamatek.com/products/nvidia-rtx-a1000-8gb-4mdp-gfx,Shopify_Wamatek,"SKU: 198701689928, Vendor: HP INC. - NSB OPTIONS",NVIDIA RTX A1000 8GB 4MDP GFX,A1000,regex,0.9,True,,regex: matched pattern 'A1000' on text 'NVIDIA RTX A1000',8.0,50.0,0.0,1.0,Single-slot,False,Ampere,1280.0,4.0,,,
