Model,Condition,Price_USD,Quantity,Min_Order_Qty,Seller,Geographic_Region,Listing_Age,Source_URL,Source_Type,Bulk_Notes,Stock_Status,Authentication_Signals
NVIDIA A800 Active 40GB,New,19999.0,Available,1,SHI.com,US domestic,Current,https://www.shi.com/product/46563369/NVIDIA-A800-40GB-Active,Retail_Major,"MSRP pricing, official distributor",Available,"Official NVIDIA partner, sealed retail box"
NVIDIA A800 Active 40GB,New,19999.0,Special Order,1,B&H Photo,US domestic,Current,https://www.bhphotovideo.com/c/product/1803762-REG/pny_vcna800_pb_a800_40gb_active_graphics.html,Retail_Specialist,"4-6 weeks expected availability, cannot cancel/return",Pre-order,"Authorized dealer, PNY retail packaging"
NVIDIA A800 Active 40GB,New,14124.99,Available,1,Zones.com,US domestic,Current,https://www.zones.com/site/product/index.html?id=114978286,Retail_Specialist,Includes 3-year NVIDIA AI Enterprise subscription,Available,"NVIDIA authorized partner, bulk packaging"
NVIDIA A800 Active 40GB,New,14117.99,Available,1,Zones.com,US domestic,Current,https://www.zones.com/site/product/index.html?id=301534092NEW,Retail_Specialist,Includes 3-year NVIDIA AI Enterprise subscription,Available,"NVIDIA authorized partner, bulk packaging"
NVIDIA A800 Active 40GB,New,17256.99,Available,1,Zones.com,US domestic,Current,https://www.zones.com/site/product/index.html?id=114101413,Retail_Specialist,PNY black box packaging and accessories,Available,"PNY official packaging, 3-year warranty"
NVIDIA A800 Active 40GB,New,14399.99,Out of Stock,1,Central Computer,US domestic,Current,https://www.centralcomputer.com/pny-nvidia-a800-40gb-active-graphic-card-ecc-pcie-4-0-dual-slot-240w-vcna800-pb.html,Retail_Specialist,PNY model VCNA800-PB,Out of Stock,"Authorized retailer, 3-year warranty"
NVIDIA A800 Active 40GB,New,21475.25,Out of Stock,1,HP Connection,US domestic,Current,https://www.connection.com/product/hp-nvidia-a800-pcie-4.0-x16-graphics-card-40gb-hbm2/8d6c0aa/41770375,Retail_Specialist,HP branded version (8D6C0AA),Out of Stock,"HP official partner, enterprise warranty"
NVIDIA A800 Active 40GB,New,14493.57,Special Order,1,Provantage,US domestic,Current,https://www.provantage.com/pny-technologies-vcna800-pb~7PNY92EK.htm,Retail_Specialist,"28% discount from MSRP, PNY black box packaging",Special Order,"NVIDIA authorized dealer, factory new"
NVIDIA A800 Active 40GB,New,5500.0,In Stock,1,Genius Teknolojl Ticaret Limited Sirketi,Turkey/International,Current,https://www.tradeindia.com/products/a800-40gb-active-graphics-card-9243263.html,International,"Supply ability: 3 per day, 10-day delivery, Payment: T/T, PayPal, Western Union",In Stock,Requires verification - significantly below market price
NVIDIA A800 Active 40GB,New,17400.0,Pre-order,1,Scan.co.uk,UK/EU,Current,https://www.scan.co.uk/products/40gb-pny-nvidia-a800-active-6912-cuda-432-tensor-hbm2-195-tflops-fp32-3118-tflops-tf32-retail,Retail_Specialist,"PNY retail packaging, financing available, 36-month warranty",Pre-order,"PNY authorized partner, retail packaging"
NVIDIA A800 Active 40GB,New,13200.0,In Stock,1,Japanese retailers (aggregated),Japan/Asia,Current,https://kakaku.com/item/K0001605271/,Retail_Specialist,"Price range ¥1,980,000-¥2,666,750 across multiple retailers",In Stock,Multiple authorized Japanese retailers
NVIDIA A800 Active 40GB,New,Price on request,Available,1,SourceIT Singapore,Singapore/Asia,Recent,https://sourceit.com.sg/products/nvidia-a800-pcie-40-gb-active-cooling-ampere-900-51001-2500-000,Retail_Specialist,"Local warranty, detailed specifications listed",Available,"Local warranty, professional specifications"
NVIDIA A800 Active 40GB,New,Quote required,Available,1,Avendor,US domestic,Current,https://www.avendor.com/products/nvidia-nvidia-a800-graphic-card-40-gb-hbm2,Retail_Specialist,"Detailed technical specifications, quote-based pricing",Available,"Enterprise-focused, detailed technical specs"
