Canonical_Model,Listing_Count,Min_Price,Median_Price,Max_Price,Avg_Price
NVIDIA A100 40GB PCIe,4,12000.0,15628.95,18999.99,15564.4725
NVIDIA A800 40GB Active,10,5500.0,14446.779999999999,19999.0,15049.153
NVIDIA RTX PRO 6000 Blackwell,10,7673.0,9099.0,11990.0,9615.507000000001
NVIDIA RTX 6000 Ada,16,3199.0,7168.495,10499.99,7104.809375
NVIDIA A40,14,4900.0,6149.5,13200.0,6802.571428571428
NVIDIA RTX A6000,17,1.89,4439.0,9664.0,4699.640588235294
NVIDIA L4,19,1980.0,2599.0,11184.81,4103.441578947369
NVIDIA Rtx 4000 Sff Ada,21,0.0,1581.8,2837.06,1619.9533333333331
NVIDIA A2,28,521.0,1022.5,5576.0,1457.642857142857
NVIDIA Rtx A4000,25,0.0,790.0,1360.0,835.1167999999999
NVIDIA Rtx A2000 12Gb,17,0.0,599.99,849.0,575.074705882353
